counter_id,date,time,channel_1,channel_2,channel_3,channel_4
19,30/01/2008,18,0,1,,
19,30/01/2008,19,1,1,,
19,30/01/2008,20,0,0,,
19,30/01/2008,21,0,0,,
19,30/01/2008,22,0,0,,
19,30/01/2008,23,0,0,,
19,31/01/2008,0,0,0,,
19,31/01/2008,1,0,0,,
19,31/01/2008,2,0,0,,
19,31/01/2008,3,0,0,,
19,31/01/2008,4,0,0,,
19,31/01/2008,5,0,0,,
19,31/01/2008,6,0,2,,
19,31/01/2008,7,0,1,,
19,31/01/2008,8,0,0,,
19,31/01/2008,9,0,0,,
19,31/01/2008,10,1,1,,
19,31/01/2008,11,1,0,,
19,31/01/2008,12,1,0,,
19,31/01/2008,13,0,0,,
19,31/01/2008,14,0,0,,
19,31/01/2008,15,0,0,,
19,31/01/2008,16,0,0,,
19,31/01/2008,17,1,0,,
19,31/01/2008,18,0,0,,
19,31/01/2008,19,0,1,,
19,31/01/2008,20,0,0,,
19,31/01/2008,21,0,0,,
19,31/01/2008,22,0,0,,
19,31/01/2008,23,0,0,,
19,01/02/2008,0,0,0,,
19,01/02/2008,1,0,0,,
19,01/02/2008,2,0,0,,
19,01/02/2008,3,0,0,,
19,01/02/2008,4,0,0,,
19,01/02/2008,5,0,0,,
19,01/02/2008,6,0,0,,
19,01/02/2008,7,0,1,,
19,01/02/2008,8,0,1,,
19,01/02/2008,9,0,2,,
19,01/02/2008,10,0,0,,
19,01/02/2008,11,0,1,,
19,01/02/2008,12,0,0,,
19,01/02/2008,13,0,0,,
19,01/02/2008,14,1,0,,
19,01/02/2008,15,0,0,,
19,01/02/2008,16,0,1,,
19,01/02/2008,17,1,0,,
19,01/02/2008,18,0,0,,
19,01/02/2008,19,0,0,,
19,01/02/2008,20,0,0,,
19,01/02/2008,21,0,0,,
19,01/02/2008,22,0,0,,
19,01/02/2008,23,0,0,,
19,02/02/2008,0,0,0,,
19,02/02/2008,1,0,0,,
19,02/02/2008,2,0,0,,
19,02/02/2008,3,0,0,,
19,02/02/2008,4,0,0,,
19,02/02/2008,5,0,0,,
19,02/02/2008,6,0,0,,
19,02/02/2008,7,0,0,,
19,02/02/2008,8,0,0,,
19,02/02/2008,9,0,0,,
19,02/02/2008,10,0,0,,
19,02/02/2008,11,0,2,,
19,02/02/2008,12,0,0,,
19,02/02/2008,13,0,0,,
19,02/02/2008,14,2,3,,
19,02/02/2008,15,0,0,,
19,02/02/2008,16,1,3,,
19,02/02/2008,17,0,0,,
19,02/02/2008,18,0,0,,
19,02/02/2008,19,0,0,,
19,02/02/2008,20,0,0,,
19,02/02/2008,21,1,0,,
19,02/02/2008,22,0,0,,
19,02/02/2008,23,0,0,,
19,03/02/2008,0,0,0,,
19,03/02/2008,1,0,0,,
19,03/02/2008,2,0,0,,
19,03/02/2008,3,0,0,,
19,03/02/2008,4,0,0,,
19,03/02/2008,5,0,0,,
19,03/02/2008,6,0,0,,
19,03/02/2008,7,1,0,,
19,03/02/2008,8,0,0,,
19,03/02/2008,9,0,0,,
19,03/02/2008,10,0,3,,
19,03/02/2008,11,0,0,,
19,03/02/2008,12,0,0,,
19,03/02/2008,13,2,1,,
19,03/02/2008,14,0,0,,
19,03/02/2008,15,0,1,,
19,03/02/2008,16,3,3,,
19,03/02/2008,17,0,1,,
19,03/02/2008,18,0,0,,
19,03/02/2008,19,0,0,,
19,03/02/2008,20,0,0,,
19,03/02/2008,21,0,0,,
19,03/02/2008,22,0,0,,
19,03/02/2008,23,0,0,,
19,04/02/2008,0,0,0,,
19,04/02/2008,1,0,0,,
19,04/02/2008,2,0,0,,
19,04/02/2008,3,0,0,,
19,04/02/2008,4,0,0,,
19,04/02/2008,5,0,0,,
19,04/02/2008,6,0,0,,
19,04/02/2008,7,0,0,,
19,04/02/2008,8,0,0,,
19,04/02/2008,9,0,0,,
19,04/02/2008,10,0,1,,
19,04/02/2008,11,0,1,,
19,04/02/2008,12,0,1,,
19,04/02/2008,13,0,0,,
19,04/02/2008,14,0,3,,
19,04/02/2008,15,2,1,,
19,04/02/2008,16,0,1,,
19,04/02/2008,17,1,0,,
19,04/02/2008,18,0,3,,
19,04/02/2008,19,0,1,,
19,04/02/2008,20,2,0,,
19,04/02/2008,21,0,0,,
19,04/02/2008,22,0,0,,
19,04/02/2008,23,0,0,,
19,05/02/2008,0,0,0,,
19,05/02/2008,1,0,0,,
19,05/02/2008,2,0,0,,
19,05/02/2008,3,0,0,,
19,05/02/2008,4,0,0,,
19,05/02/2008,5,0,0,,
19,05/02/2008,6,0,0,,
19,05/02/2008,7,0,6,,
19,05/02/2008,8,1,0,,
19,05/02/2008,10,0,1,,
19,05/02/2008,11,1,2,,
19,05/02/2008,12,0,0,,
19,05/02/2008,13,0,0,,
19,05/02/2008,14,1,3,,
19,05/02/2008,15,0,0,,
19,05/02/2008,16,0,0,,
19,05/02/2008,17,1,0,,
19,05/02/2008,18,0,1,,
19,05/02/2008,19,0,1,,
19,05/02/2008,20,0,0,,
19,05/02/2008,21,0,0,,
19,05/02/2008,22,0,0,,
19,05/02/2008,23,0,0,,
19,06/02/2008,0,0,0,,
19,06/02/2008,1,0,1,,
19,06/02/2008,2,0,0,,
19,06/02/2008,3,0,0,,
19,06/02/2008,4,0,0,,
19,06/02/2008,5,0,0,,
19,06/02/2008,6,0,0,,
19,06/02/2008,7,0,3,,
19,06/02/2008,8,0,4,,
19,06/02/2008,9,0,0,,
19,06/02/2008,10,1,0,,
19,06/02/2008,11,0,1,,
19,06/02/2008,12,0,0,,
19,06/02/2008,13,0,0,,
19,06/02/2008,14,2,0,,
19,06/02/2008,15,1,0,,
19,06/02/2008,16,0,1,,
19,06/02/2008,17,0,0,,
19,06/02/2008,18,1,2,,
19,06/02/2008,19,0,0,,
19,06/02/2008,20,1,1,,
19,06/02/2008,21,0,0,,
19,06/02/2008,22,0,0,,
19,06/02/2008,23,0,0,,
19,07/02/2008,0,0,0,,
19,07/02/2008,1,0,0,,
19,07/02/2008,2,0,0,,
19,07/02/2008,3,0,0,,
19,07/02/2008,4,0,0,,
19,07/02/2008,5,0,0,,
19,07/02/2008,6,0,0,,
19,07/02/2008,7,0,3,,
19,07/02/2008,8,1,2,,
19,07/02/2008,9,0,0,,
19,07/02/2008,10,1,0,,
19,07/02/2008,11,0,2,,
19,07/02/2008,12,0,3,,
19,07/02/2008,13,1,1,,
19,07/02/2008,14,0,0,,
19,07/02/2008,15,0,1,,
19,07/02/2008,16,0,0,,
19,07/02/2008,17,1,0,,
19,07/02/2008,18,0,0,,
19,07/02/2008,19,0,0,,
19,07/02/2008,20,0,0,,
19,07/02/2008,21,0,0,,
19,07/02/2008,22,0,0,,
19,07/02/2008,23,1,0,,
19,08/02/2008,0,0,0,,
19,08/02/2008,1,0,0,,
19,08/02/2008,2,0,0,,
19,08/02/2008,3,0,0,,
19,08/02/2008,4,0,0,,
19,08/02/2008,5,0,0,,
19,08/02/2008,6,0,1,,
19,08/02/2008,7,1,1,,
19,08/02/2008,8,1,1,,
19,08/02/2008,9,1,1,,
19,08/02/2008,10,1,0,,
19,08/02/2008,11,0,1,,
19,08/02/2008,12,2,0,,
19,08/02/2008,13,1,0,,
19,08/02/2008,14,0,1,,
19,08/02/2008,15,0,0,,
19,08/02/2008,16,0,1,,
19,08/02/2008,17,0,4,,
19,08/02/2008,18,0,0,,
19,08/02/2008,19,0,0,,
19,08/02/2008,20,0,0,,
19,08/02/2008,21,0,0,,
19,08/02/2008,22,1,0,,
19,08/02/2008,23,0,0,,
19,09/02/2008,0,0,0,,
19,09/02/2008,1,0,0,,
19,09/02/2008,2,0,0,,
19,09/02/2008,3,0,0,,
19,09/02/2008,4,0,0,,
19,09/02/2008,5,0,0,,
19,09/02/2008,6,0,0,,
19,09/02/2008,7,1,0,,
19,09/02/2008,8,0,0,,
19,09/02/2008,9,1,4,,
19,09/02/2008,10,2,1,,
19,09/02/2008,11,2,0,,
19,09/02/2008,12,1,0,,
19,09/02/2008,13,0,5,,
19,09/02/2008,14,3,2,,
19,09/02/2008,15,1,2,,
19,09/02/2008,16,2,2,,
19,09/02/2008,17,0,1,,
19,09/02/2008,18,0,0,,
19,09/02/2008,19,0,1,,
19,09/02/2008,20,0,0,,
19,09/02/2008,21,0,0,,
19,09/02/2008,22,0,0,,
19,09/02/2008,23,0,0,,
19,10/02/2008,0,0,1,,
19,10/02/2008,1,0,0,,
19,10/02/2008,2,0,0,,
19,10/02/2008,3,0,0,,
19,10/02/2008,4,0,0,,
19,10/02/2008,5,0,0,,
19,10/02/2008,6,0,0,,
19,10/02/2008,7,0,0,,
19,10/02/2008,8,0,0,,
19,10/02/2008,9,0,0,,
19,10/02/2008,10,0,3,,
19,10/02/2008,11,1,9,,
19,10/02/2008,12,0,6,,
19,10/02/2008,13,1,1,,
19,10/02/2008,14,1,1,,
19,10/02/2008,15,0,0,,
19,10/02/2008,16,1,2,,
19,10/02/2008,17,0,1,,
19,10/02/2008,18,0,0,,
19,10/02/2008,19,1,0,,
19,10/02/2008,20,0,0,,
19,10/02/2008,21,0,0,,
19,10/02/2008,22,0,0,,
19,10/02/2008,23,0,0,,
19,11/02/2008,0,0,0,,
19,11/02/2008,1,0,0,,
19,11/02/2008,2,0,0,,
19,11/02/2008,3,0,0,,
19,11/02/2008,4,0,0,,
19,11/02/2008,5,0,0,,
19,11/02/2008,6,0,0,,
19,11/02/2008,7,0,3,,
19,11/02/2008,8,0,0,,
19,11/02/2008,9,0,2,,
19,11/02/2008,10,0,0,,
19,11/02/2008,11,0,0,,
19,11/02/2008,12,1,0,,
19,11/02/2008,13,0,0,,
19,11/02/2008,14,1,0,,
19,11/02/2008,15,0,0,,
19,11/02/2008,16,0,3,,
19,11/02/2008,17,0,2,,
19,11/02/2008,18,0,1,,
19,11/02/2008,19,0,0,,
19,11/02/2008,20,0,0,,
19,11/02/2008,21,0,0,,
19,11/02/2008,22,0,0,,
19,11/02/2008,23,0,0,,
19,12/02/2008,0,0,1,,
19,12/02/2008,1,0,0,,
19,12/02/2008,2,0,0,,
19,12/02/2008,3,0,0,,
19,12/02/2008,4,0,0,,
19,12/02/2008,5,0,0,,
19,12/02/2008,6,0,1,,
19,12/02/2008,7,0,1,,
19,12/02/2008,8,0,1,,
19,12/02/2008,9,1,1,,
19,12/02/2008,10,0,1,,
19,12/02/2008,11,2,1,,
19,12/02/2008,12,0,2,,
19,12/02/2008,13,1,1,,
19,12/02/2008,14,1,3,,
19,12/02/2008,15,0,1,,
19,12/02/2008,16,0,2,,
19,12/02/2008,17,1,3,,
19,12/02/2008,18,0,0,,
19,12/02/2008,19,0,0,,
19,12/02/2008,20,1,0,,
19,12/02/2008,21,1,0,,
19,12/02/2008,22,0,0,,
19,12/02/2008,23,0,0,,
19,13/02/2008,0,0,0,,
19,13/02/2008,1,0,0,,
19,13/02/2008,2,0,0,,
19,13/02/2008,3,0,0,,
19,13/02/2008,4,0,0,,
19,13/02/2008,5,0,0,,
19,13/02/2008,6,0,0,,
19,13/02/2008,7,0,2,,
19,13/02/2008,8,0,0,,
19,13/02/2008,9,1,0,,
19,13/02/2008,10,1,0,,
19,13/02/2008,11,1,0,,
19,13/02/2008,12,1,0,,
19,13/02/2008,13,0,1,,
19,13/02/2008,14,2,5,,
19,13/02/2008,15,1,2,,
19,13/02/2008,16,0,0,,
19,13/02/2008,17,2,1,,
19,13/02/2008,18,0,0,,
19,13/02/2008,19,0,0,,
19,13/02/2008,20,1,0,,
19,13/02/2008,21,0,0,,
19,13/02/2008,22,0,0,,
19,13/02/2008,23,0,0,,
19,14/02/2008,0,0,0,,
19,14/02/2008,1,0,0,,
19,14/02/2008,2,0,0,,
19,14/02/2008,3,0,0,,
19,14/02/2008,4,0,0,,
19,14/02/2008,5,0,0,,
19,14/02/2008,6,0,0,,
19,14/02/2008,7,0,1,,
19,14/02/2008,8,1,1,,
19,14/02/2008,9,1,1,,
19,14/02/2008,10,1,0,,
19,14/02/2008,11,0,0,,
19,14/02/2008,12,0,0,,
19,14/02/2008,13,0,0,,
